experiment,dataset,method,n_rows,pearson,spearman,kendall
cv,log_kvrh,Control,11000,-0.6333237632564624,-0.556272704841277,-0.3935385645001754
cv,log_kvrh,DIR,12500,-0.5803361188808824,-0.4943533494134422,-0.3574531646307057
cv,log_kvrh,BSAM,14000,-0.6372405293185127,-0.5479959958819574,-0.39435083132038706
cv,log_kvrh,DILA,12500,-0.6944763531682236,-0.6698283949564614,-0.4843845825696835
cv,log_kvrh,pooled,50000,-0.6358036925400629,-0.5705880163326927,-0.4044156771794512
cv,log_gvrh,Control,10500,-0.6987612927815025,-0.6483522327088268,-0.46756563452751526
cv,log_gvrh,DIR,12000,-0.6856472471274002,-0.6932470705868489,-0.499761740497187
cv,log_gvrh,BSAM,12500,-0.8396262454935542,-0.8158258659336959,-0.6227371822649829
cv,log_gvrh,DILA,12500,-0.48319053623735453,-0.46586677677376037,-0.3389179541539566
cv,log_gvrh,pooled,47500,-0.6024045377027606,-0.5952977456906964,-0.4278098159584881
cv,perovskites,Control,12500,-0.37932937404031886,-0.35625004432638746,-0.25751099717172626
cv,perovskites,DIR,12500,-0.315790757670363,-0.34733852517367414,-0.2543501318025939
cv,perovskites,BSAM,12500,-0.32485632000989073,-0.2807116311595396,-0.20264284518258643
cv,perovskites,DILA,12500,-0.47589411756035266,-0.10991659226734495,-0.10038664030278215
cv,perovskites,pooled,50000,-0.3707206020451086,-0.24492164606298178,-0.18433976878832506
cv,phonons,Control,11000,-0.6250330285850296,-0.6207043446505014,-0.45308626687721965
cv,phonons,DIR,11500,-0.58658153380403,-0.5695538802469798,-0.4118583272908428
cv,phonons,BSAM,11000,-0.7300659660603609,-0.6831439805930317,-0.5067264098463208
cv,phonons,DILA,12000,-0.5353961454594101,-0.5190537399356991,-0.3726577690123562
cv,phonons,pooled,45500,-0.6057425790196695,-0.5793014009085815,-0.4206505922196912
matfold,log_kvrh,Control,13000,-0.7055746505499335,-0.6978763660853203,-0.5027251749966603
matfold,log_kvrh,DIR,12500,-0.6301220485936995,-0.6225269839315104,-0.44827569256570743
matfold,log_kvrh,BSAM,14000,-0.6416416140200663,-0.5663681697207048,-0.40228097977735827
matfold,log_kvrh,DILA,12500,-0.6688883074878783,-0.6249393458177823,-0.45041852676019367
matfold,log_kvrh,pooled,52000,-0.6701115889251181,-0.6418723893290404,-0.4612279166786688
matfold,log_gvrh,Control,9500,-0.6818812881224864,-0.6478743478779874,-0.4773541838757867
matfold,log_gvrh,DIR,12500,-0.6179991757576804,-0.6347080865955922,-0.44035708209798896
matfold,log_gvrh,BSAM,12500,-0.7554361231298192,-0.7222030762105359,-0.5367167156317721
matfold,log_gvrh,DILA,12500,-0.520898594182068,-0.47822294857325093,-0.3397352441716189
matfold,log_gvrh,pooled,47000,-0.5859829100564588,-0.5842732256944575,-0.4238570812025206
matfold,perovskites,Control,12500,-0.2645892475222365,-0.16813125729809325,-0.10736904284571572
matfold,perovskites,DIR,12500,-0.09089286886598064,-0.07802781208438092,-0.0703605113513562
matfold,perovskites,BSAM,12500,-0.2288619240448148,-0.10642750675164568,-0.07628980119683439
matfold,perovskites,DILA,12500,-0.4579329990986568,-0.15245556132904328,-0.11280947098303995
matfold,perovskites,pooled,50000,-0.27935822075728484,-0.11554239143947544,-0.08469905019402756
matfold,phonons,Control,12000,-0.6415328625252155,-0.5884110462391772,-0.4205116682798595
matfold,phonons,DIR,11000,-0.6497701322185143,-0.6125617754359562,-0.4412615356991802
matfold,phonons,BSAM,12000,-0.7399140580826409,-0.6295748596161301,-0.4588149371912894
matfold,phonons,DILA,12000,-0.5371229774656765,-0.49500907195034993,-0.3515379301853248
matfold,phonons,pooled,47000,-0.6385443734673686,-0.5761032865671437,-0.4125039578654615
