dataset,method,mae,r2,sera,alpha,tail_mae,head_mae
log_gvrh,bsam,0.100 ± 0.003,0.847 ± 0.010,4.6 ± 0.9,0.80 ± 0.03,0.18 ± 0.02,0.095 ± 0.002
log_gvrh,control,0.100 ± 0.003,0.843 ± 0.010,4.6 ± 0.7,0.80 ± 0.02,0.179 ± 0.016,0.095 ± 0.003
log_gvrh,dir,0.101 ± 0.003,0.841 ± 0.010,4.6 ± 0.8,0.81 ± 0.02,0.180 ± 0.017,0.097 ± 0.003
log_gvrh,smooth_dila,0.108 ± 0.003,0.825 ± 0.013,4.8 ± 1.2,0.82 ± 0.03,0.19 ± 0.02,0.104 ± 0.003
log_kvrh,bsam,0.080 ± 0.003,0.861 ± 0.011,6.9 ± 1.6,0.67 ± 0.04,0.23 ± 0.04,0.073 ± 0.003
log_kvrh,control,0.080 ± 0.003,0.860 ± 0.013,6.9 ± 1.4,0.67 ± 0.02,0.233 ± 0.018,0.073 ± 0.004
log_kvrh,dir,0.081 ± 0.004,0.858 ± 0.015,6.9 ± 1.5,0.68 ± 0.03,0.23 ± 0.03,0.074 ± 0.004
log_kvrh,smooth_dila,0.072 ± 0.003,0.873 ± 0.015,6.6 ± 1.6,0.66 ± 0.02,0.22 ± 0.03,0.065 ± 0.003
perovskites,bsam,0.0403 ± 0.0016,0.9918 ± 0.0009,2.4 ± 0.6,0.840 ± 0.018,0.069 ± 0.007,0.0378 ± 0.0017
perovskites,control,0.0395 ± 0.0013,0.9920 ± 0.0009,2.3 ± 0.7,0.840 ± 0.019,0.068 ± 0.007,0.0369 ± 0.0009
perovskites,dir,0.0398 ± 0.0019,0.9920 ± 0.0010,2.3 ± 0.6,0.85 ± 0.02,0.068 ± 0.007,0.0373 ± 0.0016
perovskites,smooth_dila,0.042 ± 0.002,0.9912 ± 0.0010,2.5 ± 0.7,0.85 ± 0.03,0.070 ± 0.008,0.0398 ± 0.0017
phonons,bsam,35 ± 4,0.983 ± 0.005,310000 ± 110000,0.66 ± 0.05,93 ± 18,26 ± 3
phonons,control,34 ± 2,0.984 ± 0.005,320000 ± 130000,0.65 ± 0.05,94 ± 17,24 ± 2
phonons,dir,32 ± 2,0.985 ± 0.004,290000 ± 90000,0.66 ± 0.06,86 ± 11,23.4 ± 1.9
phonons,smooth_dila,40 ± 3,0.976 ± 0.007,460000 ± 150000,0.65 ± 0.06,120 ± 20,29 ± 2
