dataset,method,mae,r2,sera,alpha,tail_mae,head_mae
log_gvrh,bsam,0.120 ± 0.006,0.796 ± 0.016,6 ± 3,0.82 ± 0.03,0.21 ± 0.02,0.115 ± 0.006
log_gvrh,control,0.122 ± 0.007,0.79 ± 0.02,6 ± 3,0.82 ± 0.03,0.20 ± 0.03,0.117 ± 0.007
log_gvrh,dir,0.122 ± 0.007,0.79 ± 0.02,5 ± 3,0.82 ± 0.02,0.21 ± 0.02,0.118 ± 0.007
log_gvrh,smooth_dila,0.126 ± 0.007,0.77 ± 0.02,6 ± 4,0.83 ± 0.03,0.21 ± 0.02,0.122 ± 0.007
log_kvrh,bsam,0.092 ± 0.005,0.837 ± 0.019,8 ± 4,0.67 ± 0.03,0.26 ± 0.03,0.084 ± 0.005
log_kvrh,control,0.093 ± 0.005,0.831 ± 0.017,9 ± 5,0.66 ± 0.02,0.26 ± 0.04,0.085 ± 0.004
log_kvrh,dir,0.093 ± 0.005,0.834 ± 0.017,8 ± 4,0.67 ± 0.03,0.25 ± 0.04,0.085 ± 0.005
log_kvrh,smooth_dila,0.086 ± 0.004,0.843 ± 0.015,8 ± 4,0.66 ± 0.03,0.26 ± 0.03,0.078 ± 0.003
perovskites,bsam,0.10 ± 0.02,0.94 ± 0.07,8 ± 8,0.80 ± 0.10,0.13 ± 0.04,0.09 ± 0.02
perovskites,control,0.090 ± 0.016,0.96 ± 0.05,8 ± 8,0.79 ± 0.11,0.13 ± 0.04,0.085 ± 0.019
perovskites,dir,0.10 ± 0.02,0.94 ± 0.07,7 ± 8,0.80 ± 0.10,0.12 ± 0.05,0.09 ± 0.03
perovskites,smooth_dila,0.099 ± 0.015,0.95 ± 0.05,10 ± 10,0.80 ± 0.11,0.14 ± 0.05,0.092 ± 0.017
phonons,bsam,45 ± 8,0.96 ± 0.03,700000 ± 400000,0.63 ± 0.07,140 ± 50,31 ± 7
phonons,control,43 ± 4,0.971 ± 0.017,520000 ± 180000,0.61 ± 0.06,140 ± 40,29 ± 4
phonons,dir,42 ± 4,0.97 ± 0.02,500000 ± 200000,0.62 ± 0.07,130 ± 50,29 ± 4
phonons,smooth_dila,48 ± 4,0.96 ± 0.02,700000 ± 300000,0.59 ± 0.07,160 ± 40,31 ± 4
