Discovery Mode,Tail Size (GT),Extrap. Precision,Tail Recall,Tail MAE,Breakdown,Method,Rel Threshold,Budget Ratio,Fold
high,540,0.8815,0.4407,0.0792,"High=540, Low=1250",Control,0.5,0.5,0
high,540,0.8519,0.4259,0.0814,"High=540, Low=1250",DIR,0.5,0.5,0
high,540,0.8778,0.4389,0.0788,"High=540, Low=1250",BSAM,0.5,0.5,0
high,324,0.858,0.429,0.0794,"High=324, Low=750",DILA,0.5,0.5,0
high,540,0.7926,0.5944,0.0792,"High=540, Low=1250",Control,0.5,0.75,0
high,540,0.7827,0.587,0.0814,"High=540, Low=1250",DIR,0.5,0.75,0
high,540,0.8123,0.6093,0.0788,"High=540, Low=1250",BSAM,0.5,0.75,0
high,324,0.786,0.5895,0.0794,"High=324, Low=750",DILA,0.5,0.75,0
high,540,0.713,0.713,0.0792,"High=540, Low=1250",Control,0.5,1.0,0
high,540,0.7,0.7,0.0814,"High=540, Low=1250",DIR,0.5,1.0,0
high,540,0.7389,0.7389,0.0788,"High=540, Low=1250",BSAM,0.5,1.0,0
high,324,0.7037,0.7037,0.0794,"High=324, Low=750",DILA,0.5,1.0,0
high,540,0.6385,0.7981,0.0792,"High=540, Low=1250",Control,0.5,1.25,0
high,540,0.6222,0.7778,0.0814,"High=540, Low=1250",DIR,0.5,1.25,0
high,540,0.6519,0.8148,0.0788,"High=540, Low=1250",BSAM,0.5,1.25,0
high,324,0.6247,0.7809,0.0794,"High=324, Low=750",DILA,0.5,1.25,0
high,540,0.5617,0.8426,0.0792,"High=540, Low=1250",Control,0.5,1.5,0
high,540,0.558,0.837,0.0814,"High=540, Low=1250",DIR,0.5,1.5,0
high,540,0.5716,0.8574,0.0788,"High=540, Low=1250",BSAM,0.5,1.5,0
high,324,0.5638,0.8457,0.0794,"High=324, Low=750",DILA,0.5,1.5,0
high,540,0.5005,0.8759,0.0792,"High=540, Low=1250",Control,0.5,1.75,0
high,540,0.5058,0.8852,0.0814,"High=540, Low=1250",DIR,0.5,1.75,0
high,540,0.5111,0.8944,0.0788,"High=540, Low=1250",BSAM,0.5,1.75,0
high,324,0.5079,0.8889,0.0794,"High=324, Low=750",DILA,0.5,1.75,0
high,540,0.4537,0.9074,0.0792,"High=540, Low=1250",Control,0.5,2.0,0
high,540,0.4546,0.9093,0.0814,"High=540, Low=1250",DIR,0.5,2.0,0
high,540,0.4574,0.9148,0.0788,"High=540, Low=1250",BSAM,0.5,2.0,0
high,324,0.4568,0.9136,0.0794,"High=324, Low=750",DILA,0.5,2.0,0
high,540,0.4091,0.9204,0.0792,"High=540, Low=1250",Control,0.5,2.25,0
high,540,0.4115,0.9259,0.0814,"High=540, Low=1250",DIR,0.5,2.25,0
high,540,0.4132,0.9296,0.0788,"High=540, Low=1250",BSAM,0.5,2.25,0
high,324,0.4074,0.9167,0.0794,"High=324, Low=750",DILA,0.5,2.25,0
high,540,0.3748,0.937,0.0792,"High=540, Low=1250",Control,0.5,2.5,0
high,540,0.377,0.9426,0.0814,"High=540, Low=1250",DIR,0.5,2.5,0
