Discovery Mode,Tail Size (GT),Extrap. Precision,Tail Recall,Tail MAE,Breakdown,Method,Rel Threshold,Budget Ratio,Fold
high,270,0.5926,0.2963,0.1082,"High=270, Low=528",Control,0.5,0.5,0
high,450,0.6222,0.3111,0.1002,"High=450, Low=880",DIR,0.5,0.5,0
high,450,0.6578,0.3289,0.0885,"High=450, Low=880",BSAM,0.5,0.5,0
high,450,0.6489,0.3244,0.0931,"High=450, Low=880",DILA,0.5,0.5,0
high,270,0.5517,0.4148,0.1082,"High=270, Low=528",Control,0.5,0.75,0
high,450,0.5473,0.4111,0.1002,"High=450, Low=880",DIR,0.5,0.75,0
high,450,0.574,0.4311,0.0885,"High=450, Low=880",BSAM,0.5,0.75,0
high,450,0.5769,0.4333,0.0931,"High=450, Low=880",DILA,0.5,0.75,0
high,270,0.5074,0.5074,0.1082,"High=270, Low=528",Control,0.5,1.0,0
high,450,0.5333,0.5333,0.1002,"High=450, Low=880",DIR,0.5,1.0,0
high,450,0.5267,0.5267,0.0885,"High=450, Low=880",BSAM,0.5,1.0,0
high,450,0.5311,0.5311,0.0931,"High=450, Low=880",DILA,0.5,1.0,0
high,270,0.4675,0.5852,0.1082,"High=270, Low=528",Control,0.5,1.25,0
high,450,0.4849,0.6067,0.1002,"High=450, Low=880",DIR,0.5,1.25,0
high,450,0.4902,0.6133,0.0885,"High=450, Low=880",BSAM,0.5,1.25,0
high,450,0.4938,0.6178,0.0931,"High=450, Low=880",DILA,0.5,1.25,0
high,270,0.437,0.6556,0.1082,"High=270, Low=528",Control,0.5,1.5,0
high,450,0.4578,0.6867,0.1002,"High=450, Low=880",DIR,0.5,1.5,0
high,450,0.4548,0.6822,0.0885,"High=450, Low=880",BSAM,0.5,1.5,0
high,450,0.443,0.6644,0.0931,"High=450, Low=880",DILA,0.5,1.5,0
high,270,0.408,0.7148,0.1082,"High=270, Low=528",Control,0.5,1.75,0
high,450,0.4137,0.7244,0.1002,"High=450, Low=880",DIR,0.5,1.75,0
high,450,0.4226,0.74,0.0885,"High=450, Low=880",BSAM,0.5,1.75,0
high,450,0.4061,0.7111,0.0931,"High=450, Low=880",DILA,0.5,1.75,0
high,270,0.3778,0.7556,0.1082,"High=270, Low=528",Control,0.5,2.0,0
high,450,0.3911,0.7822,0.1002,"High=450, Low=880",DIR,0.5,2.0,0
high,450,0.3956,0.7911,0.0885,"High=450, Low=880",BSAM,0.5,2.0,0
high,450,0.3822,0.7644,0.0931,"High=450, Low=880",DILA,0.5,2.0,0
high,270,0.3618,0.8148,0.1082,"High=270, Low=528",Control,0.5,2.25,0
high,450,0.3613,0.8133,0.1002,"High=450, Low=880",DIR,0.5,2.25,0
high,450,0.3702,0.8333,0.0885,"High=450, Low=880",BSAM,0.5,2.25,0
high,450,0.3603,0.8111,0.0931,"High=450, Low=880",DILA,0.5,2.25,0
high,270,0.3467,0.8667,0.1082,"High=270, Low=528",Control,0.5,2.5,0
high,450,0.3369,0.8422,0.1002,"High=450, Low=880",DIR,0.5,2.5,0
high,450,0.344,0.86,0.0885,"High=450, Low=880",BSAM,0.5,2.5,0
high,450,0.3351,0.8378,0.0931,"High=450, Low=880",DILA,0.5,2.5,0
high,270,0.3203,0.8815,0.1082,"High=270, Low=528",Control,0.5,2.75,0
high,450,0.3174,0.8733,0.1002,"High=450, Low=880",DIR,0.5,2.75,0
high,450,0.3247,0.8933,0.0885,"High=450, Low=880",BSAM,0.5,2.75,0
high,450,0.3199,0.88,0.0931,"High=450, Low=880",DILA,0.5,2.75,0
high,270,0.2988,0.8963,0.1082,"High=270, Low=528",Control,0.5,3.0,0
high,450,0.2993,0.8978,0.1002,"High=450, Low=880",DIR,0.5,3.0,0
high,450,0.3052,0.9156,0.0885,"High=450, Low=880",BSAM,0.5,3.0,0
high,450,0.3,0.9,0.0931,"High=450, Low=880",DILA,0.5,3.0,0
high,228,0.5789,0.2895,0.1114,"High=228, Low=459",Control,0.55,0.5,0
high,380,0.6421,0.3211,0.1019,"High=380, Low=765",DIR,0.55,0.5,0
high,380,0.6684,0.3342,0.0929,"High=380, Low=765",BSAM,0.55,0.5,0
high,380,0.6632,0.3316,0.092,"High=380, Low=765",DILA,0.55,0.5,0
high,228,0.5731,0.4298,0.1114,"High=228, Low=459",Control,0.55,0.75,0
high,380,0.5614,0.4211,0.1019,"High=380, Low=765",DIR,0.55,0.75,0
high,380,0.593,0.4447,0.0929,"High=380, Low=765",BSAM,0.55,0.75,0
high,380,0.6035,0.4526,0.092,"High=380, Low=765",DILA,0.55,0.75,0
high,228,0.5132,0.5132,0.1114,"High=228, Low=459",Control,0.55,1.0,0
high,380,0.5237,0.5237,0.1019,"High=380, Low=765",DIR,0.55,1.0,0
high,380,0.5342,0.5342,0.0929,"High=380, Low=765",BSAM,0.55,1.0,0
high,380,0.5342,0.5342,0.092,"High=380, Low=765",DILA,0.55,1.0,0
high,228,0.4667,0.5833,0.1114,"High=228, Low=459",Control,0.55,1.25,0
high,380,0.4905,0.6132,0.1019,"High=380, Low=765",DIR,0.55,1.25,0
high,380,0.4968,0.6211,0.0929,"High=380, Low=765",BSAM,0.55,1.25,0
high,380,0.4947,0.6184,0.092,"High=380, Low=765",DILA,0.55,1.25,0
high,228,0.4298,0.6447,0.1114,"High=228, Low=459",Control,0.55,1.5,0
high,380,0.4404,0.6605,0.1019,"High=380, Low=765",DIR,0.55,1.5,0
high,380,0.4439,0.6658,0.0929,"High=380, Low=765",BSAM,0.55,1.5,0
high,380,0.4632,0.6947,0.092,"High=380, Low=765",DILA,0.55,1.5,0
high,228,0.4035,0.7061,0.1114,"High=228, Low=459",Control,0.55,1.75,0
high,380,0.4165,0.7289,0.1019,"High=380, Low=765",DIR,0.55,1.75,0
high,380,0.4105,0.7184,0.0929,"High=380, Low=765",BSAM,0.55,1.75,0
high,380,0.412,0.7211,0.092,"High=380, Low=765",DILA,0.55,1.75,0
high,228,0.375,0.75,0.1114,"High=228, Low=459",Control,0.55,2.0,0
high,380,0.3763,0.7526,0.1019,"High=380, Low=765",DIR,0.55,2.0,0
high,380,0.3737,0.7474,0.0929,"High=380, Low=765",BSAM,0.55,2.0,0
high,380,0.3776,0.7553,0.092,"High=380, Low=765",DILA,0.55,2.0,0
high,228,0.3489,0.7851,0.1114,"High=228, Low=459",Control,0.55,2.25,0
high,380,0.3485,0.7842,0.1019,"High=380, Low=765",DIR,0.55,2.25,0
high,380,0.3556,0.8,0.0929,"High=380, Low=765",BSAM,0.55,2.25,0
high,380,0.352,0.7921,0.092,"High=380, Low=765",DILA,0.55,2.25,0
high,228,0.3246,0.8114,0.1114,"High=228, Low=459",Control,0.55,2.5,0
high,380,0.3326,0.8316,0.1019,"High=380, Low=765",DIR,0.55,2.5,0
high,380,0.3326,0.8316,0.0929,"High=380, Low=765",BSAM,0.55,2.5,0
high,380,0.3305,0.8263,0.092,"High=380, Low=765",DILA,0.55,2.5,0
high,228,0.3062,0.8421,0.1114,"High=228, Low=459",Control,0.55,2.75,0
high,380,0.3081,0.8474,0.1019,"High=380, Low=765",DIR,0.55,2.75,0
high,380,0.311,0.8553,0.0929,"High=380, Low=765",BSAM,0.55,2.75,0
high,380,0.311,0.8553,0.092,"High=380, Low=765",DILA,0.55,2.75,0
high,228,0.2909,0.8728,0.1114,"High=228, Low=459",Control,0.55,3.0,0
high,380,0.293,0.8789,0.1019,"High=380, Low=765",DIR,0.55,3.0,0
high,380,0.2921,0.8763,0.0929,"High=380, Low=765",BSAM,0.55,3.0,0
high,380,0.2921,0.8763,0.092,"High=380, Low=765",DILA,0.55,3.0,0
high,189,0.5263,0.2646,0.113,"High=189, Low=399",Control,0.6,0.5,0
high,315,0.6392,0.3206,0.1006,"High=315, Low=665",DIR,0.6,0.5,0
high,315,0.6266,0.3143,0.0919,"High=315, Low=665",BSAM,0.6,0.5,0
high,315,0.5886,0.2952,0.0916,"High=315, Low=665",DILA,0.6,0.5,0
high,189,0.5211,0.3915,0.113,"High=189, Low=399",Control,0.6,0.75,0
high,315,0.5274,0.3968,0.1006,"High=315, Low=665",DIR,0.6,0.75,0
high,315,0.5612,0.4222,0.0919,"High=315, Low=665",BSAM,0.6,0.75,0
high,315,0.5738,0.4317,0.0916,"High=315, Low=665",DILA,0.6,0.75,0
high,189,0.4868,0.4868,0.113,"High=189, Low=399",Control,0.6,1.0,0
high,315,0.4698,0.4698,0.1006,"High=315, Low=665",DIR,0.6,1.0,0
high,315,0.4952,0.4952,0.0919,"High=315, Low=665",BSAM,0.6,1.0,0
high,315,0.5048,0.5048,0.0916,"High=315, Low=665",DILA,0.6,1.0,0
high,189,0.4304,0.5397,0.113,"High=189, Low=399",Control,0.6,1.25,0
high,315,0.4492,0.5619,0.1006,"High=315, Low=665",DIR,0.6,1.25,0
high,315,0.4645,0.581,0.0919,"High=315, Low=665",BSAM,0.6,1.25,0
high,315,0.4721,0.5905,0.0916,"High=315, Low=665",DILA,0.6,1.25,0
high,189,0.3979,0.5979,0.113,"High=189, Low=399",Control,0.6,1.5,0
high,315,0.4271,0.6413,0.1006,"High=315, Low=665",DIR,0.6,1.5,0
high,315,0.4313,0.6476,0.0919,"High=315, Low=665",BSAM,0.6,1.5,0
high,315,0.4271,0.6413,0.0916,"High=315, Low=665",DILA,0.6,1.5,0
high,189,0.3746,0.6561,0.113,"High=189, Low=399",Control,0.6,1.75,0
high,315,0.3841,0.673,0.1006,"High=315, Low=665",DIR,0.6,1.75,0
high,315,0.3913,0.6857,0.0919,"High=315, Low=665",BSAM,0.6,1.75,0
high,315,0.4022,0.7048,0.0916,"High=315, Low=665",DILA,0.6,1.75,0
high,189,0.3519,0.7037,0.113,"High=189, Low=399",Control,0.6,2.0,0
high,315,0.3651,0.7302,0.1006,"High=315, Low=665",DIR,0.6,2.0,0
high,315,0.3667,0.7333,0.0919,"High=315, Low=665",BSAM,0.6,2.0,0
high,315,0.3667,0.7333,0.0916,"High=315, Low=665",DILA,0.6,2.0,0
high,189,0.3404,0.7672,0.113,"High=189, Low=399",Control,0.6,2.25,0
high,315,0.3413,0.7683,0.1006,"High=315, Low=665",DIR,0.6,2.25,0
high,315,0.3385,0.7619,0.0919,"High=315, Low=665",BSAM,0.6,2.25,0
high,315,0.3343,0.7524,0.0916,"High=315, Low=665",DILA,0.6,2.25,0
high,189,0.315,0.7884,0.113,"High=189, Low=399",Control,0.6,2.5,0
