Discovery Mode,Tail Size (GT),Extrap. Precision,Tail Recall,Tail MAE,Breakdown,Method,Rel Threshold,Budget Ratio,Fold
high,375,0.9043,0.4533,0.0474,"High=375, Low=1605",Control,0.5,0.5,0
high,375,0.8883,0.4453,0.05,"High=375, Low=1605",DIR,0.5,0.5,0
high,375,0.883,0.4427,0.0451,"High=375, Low=1605",BSAM,0.5,0.5,0
high,375,0.867,0.4347,0.0455,"High=375, Low=1605",DILA,0.5,0.5,0
high,375,0.8617,0.648,0.0474,"High=375, Low=1605",Control,0.5,0.75,0
high,375,0.8688,0.6533,0.05,"High=375, Low=1605",DIR,0.5,0.75,0
high,375,0.8546,0.6427,0.0451,"High=375, Low=1605",BSAM,0.5,0.75,0
high,375,0.844,0.6347,0.0455,"High=375, Low=1605",DILA,0.5,0.75,0
high,375,0.7787,0.7787,0.0474,"High=375, Low=1605",Control,0.5,1.0,0
high,375,0.7893,0.7893,0.05,"High=375, Low=1605",DIR,0.5,1.0,0
high,375,0.7867,0.7867,0.0451,"High=375, Low=1605",BSAM,0.5,1.0,0
high,375,0.76,0.76,0.0455,"High=375, Low=1605",DILA,0.5,1.0,0
high,375,0.6972,0.872,0.0474,"High=375, Low=1605",Control,0.5,1.25,0
high,375,0.6887,0.8613,0.05,"High=375, Low=1605",DIR,0.5,1.25,0
high,375,0.7015,0.8773,0.0451,"High=375, Low=1605",BSAM,0.5,1.25,0
high,375,0.6908,0.864,0.0455,"High=375, Low=1605",DILA,0.5,1.25,0
high,375,0.6021,0.904,0.0474,"High=375, Low=1605",Control,0.5,1.5,0
high,375,0.5986,0.8987,0.05,"High=375, Low=1605",DIR,0.5,1.5,0
high,375,0.6021,0.904,0.0451,"High=375, Low=1605",BSAM,0.5,1.5,0
high,375,0.611,0.9173,0.0455,"High=375, Low=1605",DILA,0.5,1.5,0
high,375,0.5297,0.928,0.0474,"High=375, Low=1605",Control,0.5,1.75,0
high,375,0.5221,0.9147,0.05,"High=375, Low=1605",DIR,0.5,1.75,0
high,375,0.5251,0.92,0.0451,"High=375, Low=1605",BSAM,0.5,1.75,0
high,375,0.5312,0.9307,0.0455,"High=375, Low=1605",DILA,0.5,1.75,0
high,375,0.4707,0.9413,0.0474,"High=375, Low=1605",Control,0.5,2.0,0
high,375,0.4613,0.9227,0.05,"High=375, Low=1605",DIR,0.5,2.0,0
high,375,0.468,0.936,0.0451,"High=375, Low=1605",BSAM,0.5,2.0,0
high,375,0.4707,0.9413,0.0455,"High=375, Low=1605",DILA,0.5,2.0,0
high,375,0.4206,0.9467,0.0474,"High=375, Low=1605",Control,0.5,2.25,0
high,375,0.4159,0.936,0.05,"High=375, Low=1605",DIR,0.5,2.25,0
high,375,0.4194,0.944,0.0451,"High=375, Low=1605",BSAM,0.5,2.25,0
high,375,0.423,0.952,0.0455,"High=375, Low=1605",DILA,0.5,2.25,0
high,375,0.3806,0.952,0.0474,"High=375, Low=1605",Control,0.5,2.5,0
high,375,0.3774,0.944,0.05,"High=375, Low=1605",DIR,0.5,2.5,0
high,375,0.3817,0.9547,0.0451,"High=375, Low=1605",BSAM,0.5,2.5,0
high,375,0.3806,0.952,0.0455,"High=375, Low=1605",DILA,0.5,2.5,0
high,375,0.3498,0.9627,0.0474,"High=375, Low=1605",Control,0.5,2.75,0
high,375,0.344,0.9467,0.05,"High=375, Low=1605",DIR,0.5,2.75,0
high,375,0.3508,0.9653,0.0451,"High=375, Low=1605",BSAM,0.5,2.75,0
high,375,0.3479,0.9573,0.0455,"High=375, Low=1605",DILA,0.5,2.75,0
high,375,0.3218,0.9653,0.0474,"High=375, Low=1605",Control,0.5,3.0,0
high,375,0.3191,0.9573,0.05,"High=375, Low=1605",DIR,0.5,3.0,0
high,375,0.3227,0.968,0.0451,"High=375, Low=1605",BSAM,0.5,3.0,0
high,375,0.3227,0.968,0.0455,"High=375, Low=1605",DILA,0.5,3.0,0
high,320,0.8875,0.4437,0.0498,"High=320, Low=1425",Control,0.55,0.5,0
high,320,0.8938,0.4469,0.0506,"High=320, Low=1425",DIR,0.55,0.5,0
high,320,0.8688,0.4344,0.0459,"High=320, Low=1425",BSAM,0.55,0.5,0
high,320,0.8688,0.4344,0.047,"High=320, Low=1425",DILA,0.55,0.5,0
high,320,0.8708,0.6531,0.0498,"High=320, Low=1425",Control,0.55,0.75,0
high,320,0.8542,0.6406,0.0506,"High=320, Low=1425",DIR,0.55,0.75,0
high,320,0.85,0.6375,0.0459,"High=320, Low=1425",BSAM,0.55,0.75,0
high,320,0.8375,0.6281,0.047,"High=320, Low=1425",DILA,0.55,0.75,0
high,320,0.7688,0.7688,0.0498,"High=320, Low=1425",Control,0.55,1.0,0
high,320,0.7844,0.7844,0.0506,"High=320, Low=1425",DIR,0.55,1.0,0
high,320,0.7812,0.7812,0.0459,"High=320, Low=1425",BSAM,0.55,1.0,0
high,320,0.7688,0.7688,0.047,"High=320, Low=1425",DILA,0.55,1.0,0
high,320,0.68,0.85,0.0498,"High=320, Low=1425",Control,0.55,1.25,0
high,320,0.6925,0.8656,0.0506,"High=320, Low=1425",DIR,0.55,1.25,0
high,320,0.705,0.8812,0.0459,"High=320, Low=1425",BSAM,0.55,1.25,0
high,320,0.68,0.85,0.047,"High=320, Low=1425",DILA,0.55,1.25,0
high,320,0.6062,0.9094,0.0498,"High=320, Low=1425",Control,0.55,1.5,0
high,320,0.6021,0.9031,0.0506,"High=320, Low=1425",DIR,0.55,1.5,0
high,320,0.6083,0.9125,0.0459,"High=320, Low=1425",BSAM,0.55,1.5,0
high,320,0.6,0.9,0.047,"High=320, Low=1425",DILA,0.55,1.5,0
high,320,0.5268,0.9219,0.0498,"High=320, Low=1425",Control,0.55,1.75,0
high,320,0.5232,0.9156,0.0506,"High=320, Low=1425",DIR,0.55,1.75,0
high,320,0.5321,0.9313,0.0459,"High=320, Low=1425",BSAM,0.55,1.75,0
high,320,0.5357,0.9375,0.047,"High=320, Low=1425",DILA,0.55,1.75,0
high,320,0.4719,0.9437,0.0498,"High=320, Low=1425",Control,0.55,2.0,0
high,320,0.4625,0.925,0.0506,"High=320, Low=1425",DIR,0.55,2.0,0
high,320,0.4703,0.9406,0.0459,"High=320, Low=1425",BSAM,0.55,2.0,0
high,320,0.4688,0.9375,0.047,"High=320, Low=1425",DILA,0.55,2.0,0
high,320,0.4208,0.9469,0.0498,"High=320, Low=1425",Control,0.55,2.25,0
high,320,0.4139,0.9313,0.0506,"High=320, Low=1425",DIR,0.55,2.25,0
high,320,0.4222,0.95,0.0459,"High=320, Low=1425",BSAM,0.55,2.25,0
high,320,0.4222,0.95,0.047,"High=320, Low=1425",DILA,0.55,2.25,0
high,320,0.38,0.95,0.0498,"High=320, Low=1425",Control,0.55,2.5,0
high,320,0.375,0.9375,0.0506,"High=320, Low=1425",DIR,0.55,2.5,0
high,320,0.3812,0.9531,0.0459,"High=320, Low=1425",BSAM,0.55,2.5,0
high,320,0.3812,0.9531,0.047,"High=320, Low=1425",DILA,0.55,2.5,0
high,320,0.3466,0.9531,0.0498,"High=320, Low=1425",Control,0.55,2.75,0
high,320,0.3455,0.95,0.0506,"High=320, Low=1425",DIR,0.55,2.75,0
high,320,0.3477,0.9563,0.0459,"High=320, Low=1425",BSAM,0.55,2.75,0
high,320,0.35,0.9625,0.047,"High=320, Low=1425",DILA,0.55,2.75,0
high,320,0.3177,0.9531,0.0498,"High=320, Low=1425",Control,0.55,3.0,0
high,320,0.3187,0.9563,0.0506,"High=320, Low=1425",DIR,0.55,3.0,0
high,320,0.3208,0.9625,0.0459,"High=320, Low=1425",BSAM,0.55,3.0,0
high,320,0.3208,0.9625,0.047,"High=320, Low=1425",DILA,0.55,3.0,0
high,290,0.8621,0.431,0.0514,"High=290, Low=1265",Control,0.6,0.5,0
high,290,0.8828,0.4414,0.0525,"High=290, Low=1265",DIR,0.6,0.5,0
high,290,0.8276,0.4138,0.0465,"High=290, Low=1265",BSAM,0.6,0.5,0
high,290,0.8069,0.4034,0.0471,"High=290, Low=1265",DILA,0.6,0.5,0
high,290,0.8257,0.6207,0.0514,"High=290, Low=1265",Control,0.6,0.75,0
high,290,0.8349,0.6276,0.0525,"High=290, Low=1265",DIR,0.6,0.75,0
high,290,0.7936,0.5966,0.0465,"High=290, Low=1265",BSAM,0.6,0.75,0
high,290,0.7661,0.5759,0.0471,"High=290, Low=1265",DILA,0.6,0.75,0
high,290,0.7517,0.7517,0.0514,"High=290, Low=1265",Control,0.6,1.0,0
high,290,0.7552,0.7552,0.0525,"High=290, Low=1265",DIR,0.6,1.0,0
high,290,0.7414,0.7414,0.0465,"High=290, Low=1265",BSAM,0.6,1.0,0
high,290,0.7276,0.7276,0.0471,"High=290, Low=1265",DILA,0.6,1.0,0
