Discovery Mode,Tail Size (GT),Extrap. Precision,Tail Recall,Tail MAE,Breakdown,Method,Rel Threshold,Budget Ratio,Fold
high,432,0.875,0.4375,0.0798,"High=432, Low=1428",Control,0.5,0.5,0
high,288,0.8611,0.4306,0.0766,"High=288, Low=952",DIR,0.5,0.5,0
high,360,0.8944,0.4472,0.0753,"High=360, Low=1190",BSAM,0.5,0.5,0
high,360,0.9444,0.4722,0.0665,"High=360, Low=1190",DILA,0.5,0.5,0
high,432,0.8056,0.6042,0.0798,"High=432, Low=1428",Control,0.5,0.75,0
high,288,0.7917,0.5938,0.0766,"High=288, Low=952",DIR,0.5,0.75,0
high,360,0.8296,0.6222,0.0753,"High=360, Low=1190",BSAM,0.5,0.75,0
high,360,0.8704,0.6528,0.0665,"High=360, Low=1190",DILA,0.5,0.75,0
high,432,0.7269,0.7269,0.0798,"High=432, Low=1428",Control,0.5,1.0,0
high,288,0.7118,0.7118,0.0766,"High=288, Low=952",DIR,0.5,1.0,0
high,360,0.7472,0.7472,0.0753,"High=360, Low=1190",BSAM,0.5,1.0,0
high,360,0.7694,0.7694,0.0665,"High=360, Low=1190",DILA,0.5,1.0,0
high,432,0.6444,0.8056,0.0798,"High=432, Low=1428",Control,0.5,1.25,0
high,288,0.6278,0.7847,0.0766,"High=288, Low=952",DIR,0.5,1.25,0
high,360,0.6444,0.8056,0.0753,"High=360, Low=1190",BSAM,0.5,1.25,0
high,360,0.68,0.85,0.0665,"High=360, Low=1190",DILA,0.5,1.25,0
high,432,0.5602,0.8403,0.0798,"High=432, Low=1428",Control,0.5,1.5,0
high,288,0.5463,0.8194,0.0766,"High=288, Low=952",DIR,0.5,1.5,0
high,360,0.5685,0.8528,0.0753,"High=360, Low=1190",BSAM,0.5,1.5,0
high,360,0.5889,0.8833,0.0665,"High=360, Low=1190",DILA,0.5,1.5,0
high,432,0.4881,0.8542,0.0798,"High=432, Low=1428",Control,0.5,1.75,0
high,288,0.4821,0.8438,0.0766,"High=288, Low=952",DIR,0.5,1.75,0
high,360,0.4952,0.8667,0.0753,"High=360, Low=1190",BSAM,0.5,1.75,0
high,360,0.5095,0.8917,0.0665,"High=360, Low=1190",DILA,0.5,1.75,0
