Discovery Mode,Tail Size (GT),Extrap. Precision,Tail Recall,Tail MAE,Breakdown,Method,Rel Threshold,Budget Ratio,Fold
low,1310,0.9939,0.4969,0.0394,"High=3125, Low=1310",Control,0.5,0.5,0
low,1310,0.9969,0.4985,0.0372,"High=3125, Low=1310",DIR,0.5,0.5,0
low,1310,0.9908,0.4954,0.0392,"High=3125, Low=1310",BSAM,0.5,0.5,0
low,1310,0.9939,0.4969,0.0394,"High=3125, Low=1310",DILA,0.5,0.5,0
low,1310,0.9837,0.7382,0.0394,"High=3125, Low=1310",Control,0.5,0.75,0
low,1310,0.9827,0.7374,0.0372,"High=3125, Low=1310",DIR,0.5,0.75,0
low,1310,0.9817,0.7366,0.0392,"High=3125, Low=1310",BSAM,0.5,0.75,0
low,1310,0.9827,0.7374,0.0394,"High=3125, Low=1310",DILA,0.5,0.75,0
low,1310,0.9237,0.9237,0.0394,"High=3125, Low=1310",Control,0.5,1.0,0
low,1310,0.9282,0.9282,0.0372,"High=3125, Low=1310",DIR,0.5,1.0,0
low,1310,0.9183,0.9183,0.0392,"High=3125, Low=1310",BSAM,0.5,1.0,0
low,1310,0.926,0.926,0.0394,"High=3125, Low=1310",DILA,0.5,1.0,0
low,1310,0.79,0.9878,0.0394,"High=3125, Low=1310",Control,0.5,1.25,0
low,1310,0.7912,0.9893,0.0372,"High=3125, Low=1310",DIR,0.5,1.25,0
low,1310,0.7851,0.9817,0.0392,"High=3125, Low=1310",BSAM,0.5,1.25,0
low,1310,0.7863,0.9832,0.0394,"High=3125, Low=1310",DILA,0.5,1.25,0
low,1310,0.6656,0.9985,0.0394,"High=3125, Low=1310",Control,0.5,1.5,0
low,1310,0.6656,0.9985,0.0372,"High=3125, Low=1310",DIR,0.5,1.5,0
low,1310,0.6656,0.9985,0.0392,"High=3125, Low=1310",BSAM,0.5,1.5,0
low,1310,0.6646,0.9969,0.0394,"High=3125, Low=1310",DILA,0.5,1.5,0
low,1310,0.5709,0.9992,0.0394,"High=3125, Low=1310",Control,0.5,1.75,0
low,1310,0.5709,0.9992,0.0372,"High=3125, Low=1310",DIR,0.5,1.75,0
low,1310,0.5709,0.9992,0.0392,"High=3125, Low=1310",BSAM,0.5,1.75,0
low,1310,0.5709,0.9992,0.0394,"High=3125, Low=1310",DILA,0.5,1.75,0
low,1310,0.4996,0.9992,0.0394,"High=3125, Low=1310",Control,0.5,2.0,0
low,1310,0.5,1.0,0.0372,"High=3125, Low=1310",DIR,0.5,2.0,0
low,1310,0.5,1.0,0.0392,"High=3125, Low=1310",BSAM,0.5,2.0,0
low,1310,0.5,1.0,0.0394,"High=3125, Low=1310",DILA,0.5,2.0,0
low,1310,0.4444,1.0,0.0394,"High=3125, Low=1310",Control,0.5,2.25,0
low,1310,0.4444,1.0,0.0372,"High=3125, Low=1310",DIR,0.5,2.25,0
low,1310,0.4444,1.0,0.0392,"High=3125, Low=1310",BSAM,0.5,2.25,0
low,1310,0.4444,1.0,0.0394,"High=3125, Low=1310",DILA,0.5,2.25,0
low,1310,0.4,1.0,0.0394,"High=3125, Low=1310",Control,0.5,2.5,0
low,1310,0.4,1.0,0.0372,"High=3125, Low=1310",DIR,0.5,2.5,0
