Discovery Mode,Tail Size (GT),Extrap. Precision,Tail Recall,Tail MAE,Breakdown,Method,Rel Threshold,Budget Ratio,Fold
low,235,0.9492,0.4766,0.0641,"High=2215, Low=235",Control,0.5,0.5,0
low,235,0.9322,0.4681,0.0593,"High=2215, Low=235",DIR,0.5,0.5,0
low,235,0.9492,0.4766,0.0574,"High=2215, Low=235",BSAM,0.5,0.5,0
low,235,0.9407,0.4723,0.061,"High=2215, Low=235",DILA,0.5,0.5,0
low,235,0.8757,0.6596,0.0641,"High=2215, Low=235",Control,0.5,0.75,0
low,235,0.8644,0.6511,0.0593,"High=2215, Low=235",DIR,0.5,0.75,0
low,235,0.8927,0.6723,0.0574,"High=2215, Low=235",BSAM,0.5,0.75,0
low,235,0.8814,0.6638,0.061,"High=2215, Low=235",DILA,0.5,0.75,0
low,235,0.7872,0.7872,0.0641,"High=2215, Low=235",Control,0.5,1.0,0
low,235,0.8,0.8,0.0593,"High=2215, Low=235",DIR,0.5,1.0,0
low,235,0.8085,0.8085,0.0574,"High=2215, Low=235",BSAM,0.5,1.0,0
low,235,0.8043,0.8043,0.061,"High=2215, Low=235",DILA,0.5,1.0,0
low,235,0.7143,0.8936,0.0641,"High=2215, Low=235",Control,0.5,1.25,0
low,235,0.7075,0.8851,0.0593,"High=2215, Low=235",DIR,0.5,1.25,0
low,235,0.7143,0.8936,0.0574,"High=2215, Low=235",BSAM,0.5,1.25,0
low,235,0.7279,0.9106,0.061,"High=2215, Low=235",DILA,0.5,1.25,0
low,235,0.6204,0.9319,0.0641,"High=2215, Low=235",Control,0.5,1.5,0
low,235,0.6147,0.9234,0.0593,"High=2215, Low=235",DIR,0.5,1.5,0
low,235,0.6317,0.9489,0.0574,"High=2215, Low=235",BSAM,0.5,1.5,0
low,235,0.6289,0.9447,0.061,"High=2215, Low=235",DILA,0.5,1.5,0
low,235,0.551,0.966,0.0641,"High=2215, Low=235",Control,0.5,1.75,0
low,235,0.5461,0.9574,0.0593,"High=2215, Low=235",DIR,0.5,1.75,0
low,235,0.5461,0.9574,0.0574,"High=2215, Low=235",BSAM,0.5,1.75,0
low,235,0.5534,0.9702,0.061,"High=2215, Low=235",DILA,0.5,1.75,0
low,235,0.4872,0.9745,0.0641,"High=2215, Low=235",Control,0.5,2.0,0
low,235,0.483,0.966,0.0593,"High=2215, Low=235",DIR,0.5,2.0,0
low,235,0.483,0.966,0.0574,"High=2215, Low=235",BSAM,0.5,2.0,0
low,235,0.4872,0.9745,0.061,"High=2215, Low=235",DILA,0.5,2.0,0
low,235,0.4367,0.983,0.0641,"High=2215, Low=235",Control,0.5,2.25,0
low,235,0.4329,0.9745,0.0593,"High=2215, Low=235",DIR,0.5,2.25,0
low,235,0.4386,0.9872,0.0574,"High=2215, Low=235",BSAM,0.5,2.25,0
low,235,0.4386,0.9872,0.061,"High=2215, Low=235",DILA,0.5,2.25,0
low,235,0.3963,0.9915,0.0641,"High=2215, Low=235",Control,0.5,2.5,0
low,235,0.3929,0.983,0.0593,"High=2215, Low=235",DIR,0.5,2.5,0
low,235,0.3963,0.9915,0.0574,"High=2215, Low=235",BSAM,0.5,2.5,0
low,235,0.3946,0.9872,0.061,"High=2215, Low=235",DILA,0.5,2.5,0
low,235,0.3601,0.9915,0.0641,"High=2215, Low=235",Control,0.5,2.75,0
