Discovery Mode,Tail Size (GT),Extrap. Precision,Tail Recall,Tail MAE,Breakdown,Method,Rel Threshold,Budget Ratio,Fold
high,315,1.0,0.5016,71.9201,"High=315, Low=20",Control,0.5,0.5,0
high,315,1.0,0.5016,76.9149,"High=315, Low=20",DIR,0.5,0.5,0
high,252,1.0,0.5,68.2465,"High=252, Low=16",BSAM,0.5,0.5,0
high,315,1.0,0.5016,67.2939,"High=315, Low=20",DILA,0.5,0.5,0
high,315,0.9831,0.7397,71.9201,"High=315, Low=20",Control,0.5,0.75,0
high,315,0.9873,0.7429,76.9149,"High=315, Low=20",DIR,0.5,0.75,0
high,252,0.9947,0.746,68.2465,"High=252, Low=16",BSAM,0.5,0.75,0
high,315,0.9831,0.7397,67.2939,"High=315, Low=20",DILA,0.5,0.75,0
high,315,0.9111,0.9111,71.9201,"High=315, Low=20",Control,0.5,1.0,0
high,315,0.9206,0.9206,76.9149,"High=315, Low=20",DIR,0.5,1.0,0
high,252,0.9246,0.9246,68.2465,"High=252, Low=16",BSAM,0.5,1.0,0
high,315,0.9143,0.9143,67.2939,"High=315, Low=20",DILA,0.5,1.0,0
high,315,0.7919,0.9905,71.9201,"High=315, Low=20",Control,0.5,1.25,0
high,315,0.7944,0.9937,76.9149,"High=315, Low=20",DIR,0.5,1.25,0
high,252,0.7937,0.9921,68.2465,"High=252, Low=16",BSAM,0.5,1.25,0
high,315,0.797,0.9968,67.2939,"High=315, Low=20",DILA,0.5,1.25,0
high,315,0.6617,0.9937,71.9201,"High=315, Low=20",Control,0.5,1.5,0
high,315,0.6638,0.9968,76.9149,"High=315, Low=20",DIR,0.5,1.5,0
high,252,0.664,0.996,68.2465,"High=252, Low=16",BSAM,0.5,1.5,0
high,315,0.6638,0.9968,67.2939,"High=315, Low=20",DILA,0.5,1.5,0
high,315,0.5707,1.0,71.9201,"High=315, Low=20",Control,0.5,1.75,0
high,315,0.5688,0.9968,76.9149,"High=315, Low=20",DIR,0.5,1.75,0
high,252,0.5692,0.996,68.2465,"High=252, Low=16",BSAM,0.5,1.75,0
high,315,0.5707,1.0,67.2939,"High=315, Low=20",DILA,0.5,1.75,0
high,315,0.5,1.0,71.9201,"High=315, Low=20",Control,0.5,2.0,0
high,315,0.5,1.0,76.9149,"High=315, Low=20",DIR,0.5,2.0,0
high,252,0.498,0.996,68.2465,"High=252, Low=16",BSAM,0.5,2.0,0
high,315,0.5,1.0,67.2939,"High=315, Low=20",DILA,0.5,2.0,0
high,315,0.4443,1.0,71.9201,"High=315, Low=20",Control,0.5,2.25,0
high,315,0.4443,1.0,76.9149,"High=315, Low=20",DIR,0.5,2.25,0
high,252,0.4444,1.0,68.2465,"High=252, Low=16",BSAM,0.5,2.25,0
high,315,0.4443,1.0,67.2939,"High=315, Low=20",DILA,0.5,2.25,0
high,315,0.3997,1.0,71.9201,"High=315, Low=20",Control,0.5,2.5,0
high,315,0.3997,1.0,76.9149,"High=315, Low=20",DIR,0.5,2.5,0
high,252,0.4,1.0,68.2465,"High=252, Low=16",BSAM,0.5,2.5,0
high,315,0.3997,1.0,67.2939,"High=315, Low=20",DILA,0.5,2.5,0
high,315,0.3633,1.0,71.9201,"High=315, Low=20",Control,0.5,2.75,0
high,315,0.3633,1.0,76.9149,"High=315, Low=20",DIR,0.5,2.75,0
high,252,0.3636,1.0,68.2465,"High=252, Low=16",BSAM,0.5,2.75,0
high,315,0.3633,1.0,67.2939,"High=315, Low=20",DILA,0.5,2.75,0
high,315,0.3333,1.0,71.9201,"High=315, Low=20",Control,0.5,3.0,0
high,315,0.3333,1.0,76.9149,"High=315, Low=20",DIR,0.5,3.0,0
high,252,0.3333,1.0,68.2465,"High=252, Low=16",BSAM,0.5,3.0,0
high,315,0.3333,1.0,67.2939,"High=315, Low=20",DILA,0.5,3.0,0
high,285,1.0,0.5018,74.3593,"High=285, Low=15",Control,0.55,0.5,0
