Species,Ef
F,666.0036341972414
O,371.09810032832445
Cl,314.8180877085921
Y,236.26860189927837
Ho,233.4913162787811
Er,233.1787820598742
Dy,232.9312731440491
Tm,232.75332208908245
Tb,231.824274140677
Lu,230.215259226846
Sc,226.9548139788774
Gd,225.71065099059905
Sm,222.18879522478161
Br,216.324453907916
La,215.5132117770606
Nd,214.53158215430966
Pr,209.83483285042968
Yb,208.83464862206233
Eu,198.54924737871278
Ac,196.2381472896883
Ca,195.09873091400905
Zr,193.86127027709495
Li,191.24551391350437
Sr,188.90771634197003
Pm,188.6570997150367
I,181.49226680932614
Ce,180.90184479546252
Ba,175.51847425663328
Ti,174.53923344910194
Hf,172.90120122453075
Th,172.45456594656605
Pu,141.00838186411409
Pa,124.69883713386226
Ta,120.49357606854917
V,114.75017473339528
N,108.75345638897375
K,107.2704997768868
Na,105.97382486703519
U,103.42999341210556
Nb,98.47546272412725
Np,94.54933041553714
S,91.59584693827756
Rb,91.34840574307258
Cs,85.9112198877055
Mg,85.218515653841
B,66.3138324672077
C,61.35956107981837
Be,48.19390739533714
Ni,48.156047689279035
Al,36.265526724063584
Pd,32.05556979960369
Co,31.78051722518792
Si,31.535663343605798
Fe,26.427438487507
Cr,22.379216333642923
Rh,11.82637014056869
Ge,9.059158108020448
W,1.297743446287774
Zn,-6.51733951527932
P,-7.538397400250166
Sn,-12.126945730180651
Cu,-18.738033820329882
Ag,-46.65967228760927
Mn,-54.18294542670125
Pt,-82.09481291082682
Re,-96.1814668254471
Ga,-137.64939231984334
Tl,-137.73721211424157
Cd,-145.54347366604307
In,-145.82507083835796
Mo,-152.04397778294287
Bi,-160.4532801785683
Ir,-163.72735091979388
Sb,-175.00762069471648
Pb,-186.45622515637194
Se,-186.77148099945458
As,-187.0327206428425
Tc,-516.8845209646033
Os,-724.1530238152611
Ru,-45.743867490034205
Hg,-127.6115673550747
Au,-140.5579552572642
